,access,air_conditioning,alt_name,amenity,area,backrest,bench,bin,boundingbox,bridge,building,building:colour,building:levels,building:part,building:roof,bus,camera:angle,city,colour,contact:website,covered,description,display_name,drinking_water,ele,emergency,fee,fireplace,fixme,genus,geometry,height,highway,historic,indoor,information,int_name,internet_access,layer,leaf_cycle,leaf_type,leisure,level,lit,lockable,man_made,material,min_height,name,name:en,name:fr,name:ja,name:ja-Hira,name:ja-Latn,name:ja_kana,name:ja_rm,natural,nodes,note,note:ja,opening_hours,operator,passenger_information_display,picnic_table,place,playground,playground:theme,points,postcode,province,public_transport,railway,ref,roof,roof:colour,roof:material,roof:shape,room,seat,seats,shelter,shelter_type,smoking,source,source:geometry,source:landuse,source_ref,species,species:en,species:ja,sport,start_date,surface,table,taxon,toilets,toilets:access,tourism,train,type,ways,website,wheelchair,wikidata,wikipedia
"('node', 7041537570)",,,,shelter,,,,,"['39.2251502', '39.2260755', '140.5228987', '140.5242706']",,,,,,,,,横手市,,,,,"十文字町, 横手市, 秋田県, 019-0529, 日本",,,,,,,,POINT (140.5236714 39.2257468),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5236714 39.2257468),019-0529,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7041537571)",,,,shelter,,,,,"['39.2251502', '39.2260755', '140.5228987', '140.5242706']",,,,,,,,,横手市,,,,,"十文字町, 横手市, 秋田県, 019-0529, 日本",,,,,,,,POINT (140.5240764 39.2255017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5240764 39.2255017),019-0529,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131147633)",,,,shelter,,,,,"['39.2601426', '39.2617204', '140.4923157', '140.4935359']",,,,,,,,,横手市,,,,,"平鹿町, 横手市, 秋田県, 019-0509, 日本",,,,,,,,POINT (140.4924905 39.2606445),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.4924905 39.2606445),019-0509,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131147634)",,,,shelter,,,,,"['39.2601426', '39.2617204', '140.4923157', '140.4935359']",,,,,,,,,横手市,,,,,"平鹿町, 横手市, 秋田県, 019-0509, 日本",,,,,,,,POINT (140.491985 39.2612021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.491985 39.2612021),019-0509,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7131147682)",,,,shelter,,,,,"['39.2595514', '39.2601426', '140.4924197', '140.4935359']",,,,,,,,,横手市,,,,,"平鹿町浅舞伊勢堂, 横手市, 秋田県, 019-0509, 日本",,,,,,,,POINT (140.4931584 39.2597941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.4931584 39.2597941),019-0509,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7467244692)",,,,shelter,,,,,"['39.214734', '39.216221', '140.58098', '140.582696']",,,,,,,,,横手市,,,,,"横手市, 秋田県, 019-0701, 日本",,,,,,,,POINT (140.5823768 39.215564),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akita,,,POINT (140.5823768 39.215564),019-0701,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 737548731)",,,,shelter,,,,,[],,yes,,,,,,,湯沢市,,,,,"湯沢市, 秋田県, 日本",,,,,,,,"POLYGON ((140.5964768 38.9938581, 140.596391 38.993831, 140.5964151 38.9937851, 140.5965063 38.9938133, 140.5964768 38.9938581))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[6905390113, 6905390114, 6905390115, 6905390116, 6905390113]",,,,,,,Akita,,,POINT (140.5964475094785 38.99382168209509),,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 762188590)",,,,shelter,,,,,[],,yes,,,,,,,湯沢市,,,,,"皆瀬観光物産協会, 国道398号, 新処, 湯沢市, 秋田県, 日本",,,,,,,,"POLYGON ((140.6595838 39.0125328, 140.6596476 39.0125135, 140.6596194 39.0124573, 140.6595556 39.0124767, 140.6595838 39.0125328))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7121736210, 7121736211, 7121736212, 7121736213, 7121736210]",,,,,,,Akita,,,POINT (140.6596016066117 39.01249506931134),,秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('way', 766182240)",,,,shelter,,,,,"['39.0672007', '39.0673007', '140.4599157', '140.4600157']",,yes,,,,,,,湯沢市,,,,,"桐木田の井戸, 横堀バイパス, 小野, 湯沢市, 秋田県, 019-0205, 日本",,,,,,,,"POLYGON ((140.4605139 39.0673589, 140.4605422 39.0674313, 140.4605006 39.0674411, 140.4604723 39.0673687, 140.4605139 39.0673589))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7156004848, 7156004849, 7156004850, 7156004851, 7156004848]",,,,,,,Akita,,,POINT (140.46050725 39.06740000000001),019-0205,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 833217164)",,,,shelter,,,,,[],,yes,,,,,,,,,,,,"東成瀬村, 雄勝郡, 秋田県, 日本",,,,,,,,"POLYGON ((140.7148886 39.1463268, 140.7149064 39.1462975, 140.7149412 39.1463103, 140.7149235 39.1463395, 140.7148886 39.1463268))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7778225299, 7778225300, 7778225301, 7778225302, 7778225299]",,,,,,,Akita,,,POINT (140.714914912537 39.14631852319025),,,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 839783394)",,,,shelter,,,,,"['39.2815422', '39.2819778', '140.6192367', '140.6206254']",,yes,,,,,,,横手市,,,,,"あいのの温泉 鶴ヶ池荘, 国道107号, 横手市, 秋田県, 013-0034, 日本",,,,,,,,"POLYGON ((140.6204554 39.2810973, 140.6204969 39.2811466, 140.6204296 39.2811806, 140.620388 39.2811313, 140.6204554 39.2810973))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[7836370598, 7836370599, 7836370600, 7836370601, 7836370598]",,,,,,,Akita,,,POINT (140.6204424673617 39.28113894775605),013-0034,秋田県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
